Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1605855600.0,2020-11-20 07-AM,BTCUSD,18168.59,18390,18100,18194.27,38.38,701023.3
1605852000.0,2020-11-20 06-AM,BTCUSD,18131.05,18187.32,18081.1,18168.59,12.34,223894.64
1605848400.0,2020-11-20 05-AM,BTCUSD,18201.11,18227.37,18059.67,18131.05,22.04,399275.36
1605844800.0,2020-11-20 04-AM,BTCUSD,17956.22,18234.99,17945.16,18201.11,41.49,751712.38
1605841200.0,2020-11-20 03-AM,BTCUSD,17972.49,18028.19,17954.06,17956.22,14.29,257112.53
1605837600.0,2020-11-20 02-AM,BTCUSD,17981.17,18057.22,17938.59,17972.49,38.19,687512.13
1605834000.0,2020-11-20 01-AM,BTCUSD,17797.21,18000,17773.37,17981.17,14.03,251060.83
1605830400.0,2020-11-20 12-AM,BTCUSD,17824.13,17944.32,17774,17797.21,34.74,620946.52
1605826800.0,2020-11-19 11-PM,BTCUSD,17886,17907.38,17718.94,17824.13,42.69,760145.97
1605823200.0,2020-11-19 10-PM,BTCUSD,17952.94,17980.48,17879.32,17886,27.95,500978.42
1605819600.0,2020-11-19 09-PM,BTCUSD,18067.65,18116,17913.21,17952.94,28.19,508150.35
1605816000.0,2020-11-19 08-PM,BTCUSD,17981,18067.65,17928.5,18067.65,11.08,199451.7
1605812400.0,2020-11-19 07-PM,BTCUSD,17952.48,17984.06,17899.75,17981,25.1,450365.2
1605808800.0,2020-11-19 06-PM,BTCUSD,17990.69,18049.99,17935.71,17952.48,16.43,295821.88
1605805200.0,2020-11-19 05-PM,BTCUSD,18019.56,18052.56,17910.88,17990.69,21.98,395127.97
1605801600.0,2020-11-19 04-PM,BTCUSD,18071.72,18122.71,17936.77,18019.56,48.59,874371.75
1605798000.0,2020-11-19 03-PM,BTCUSD,18132.13,18177.93,18034.56,18071.72,40.09,725877.87
1605794400.0,2020-11-19 02-PM,BTCUSD,18000,18140.63,17860.38,18132.13,69.9,1258386.76
1605790800.0,2020-11-19 01-PM,BTCUSD,17739.91,18000.12,17712.06,18000,36.35,651374.71
1605787200.0,2020-11-19 12-PM,BTCUSD,17770.91,17815.58,17673.94,17739.91,18.7,332024.12
1605783600.0,2020-11-19 11-AM,BTCUSD,17619.67,17777.32,17602.92,17770.91,16.63,294255.32
1605780000.0,2020-11-19 10-AM,BTCUSD,17446.35,17646.02,17382.81,17619.67,28.35,495386.82
1605776400.0,2020-11-19 09-AM,BTCUSD,17528.88,17646.93,17367,17446.35,19.59,342885.58
1605772800.0,2020-11-19 08-AM,BTCUSD,17667.6,17730.13,17422.9,17528.88,49.7,872076.76
1605769200.0,2020-11-19 07-AM,BTCUSD,17762.17,17781.64,17616.42,17667.6,39.75,703232.25
1605765600.0,2020-11-19 06-AM,BTCUSD,17892.2,17903.58,17726,17762.17,8.354,148756.89
1605762000.0,2020-11-19 05-AM,BTCUSD,17866.94,17923.19,17750.43,17892.2,7.507,133839.14
1605758400.0,2020-11-19 04-AM,BTCUSD,17933.19,17944.41,17769.94,17866.94,31.44,560931.4
1605754800.0,2020-11-19 03-AM,BTCUSD,17952.8,18024.27,17867.73,17933.19,12.75,228696.44
1605751200.0,2020-11-19 02-AM,BTCUSD,17869.84,18076.61,17869.84,17952.8,15.05,270620.61
1605747600.0,2020-11-19 01-AM,BTCUSD,17781.23,17882.31,17714.23,17869.84,9.567,170142.5
1605744000.0,2020-11-19 12-AM,BTCUSD,17801.21,17823.97,17596.16,17781.23,22.52,398412.31
