Time,Open,High,Low,Close,Pred_Open,Pred_High,Pred_Low,Pred_Close,open_change,high_change,low_change,close_change
0,0,0,0,0,-0.006569333374500275,-0.0034199324436485767,-0.002810555975884199,0.0002365516556892544,0,0,0,0
1635267600000,54028.42,54028.42,53582.25,53634.25,0.0,0.0,0.0,0.0,0.006608635773454,0.0013026767236004,-0.0017039999657187,-0.0054660727255801
1635267600000,54028.42,54028.42,53582.25,53634.25,0.0,0.0,0.0,0.0,0.006608635773454,0.0013026767236004,-0.0017039999657187,-0.0054660727255801
1635269400000,53673.71,53958.13,53673.71,53929.03,0.0,0.0,0.0,0.0,-0.0030928545438978,-0.0018753407124852,-0.0030928545438978,-0.0024136363796121
1635271200000,53840.23,54059.51,53840.23,54059.51,0.0,0.0,0.0,0.0,-0.0044906819320637,-0.0020862972432706,-0.0037144047774132,4.291751014062761e-05
1635273000000,54083.1,54172.53,54040.96,54057.19,0.0,0.0,0.0,0.0,0.0001812354711103,0.001835101612071,0.0021567127173356,0.0024270156812138
1635274800000,54073.3,54073.3,53924.66,53926.31,0.0,0.0,0.0,0.0,0.0027454671049276,0.0027454671049276,0.0038185367593499,0.0038492518456509
1635276600000,53925.25,53925.25,53719.53,53719.53,0.0,0.0,0.0,0.0,0.0035685373184326,0.0034990645217598,0.0005872820742065,0.0005872820742065
1635278400000,53733.5,53737.22,53688.0,53688.0,0.0,0.0,0.0,0.0,0.0022408593678888,-0.0020024128499115,0.0013921903048046,-0.0029165174731042
1635280200000,53613.36,53845.04,53613.36,53845.04,0.0,0.0,0.0,0.0,-0.0047939898595958,-0.0004933952236818,0.0002304061061535,0.0017700498047437
1635282000000,53871.62,53871.62,53601.01,53749.9,0.0,0.0,0.0,0.0,0.0027128457854661,0.0027128457854661,0.0003153920070708,0.0030940142516129
1635283800000,53725.87,53725.87,53584.11,53584.11,0.0,0.0,0.0,0.0,0.0020691997546207,0.0009538950123029,0.0224576141012766,0.0224576141012766
1635285600000,53614.93,53674.67,52407.17,52407.17,0.0,0.0,0.0,0.0,0.0206953073464839,0.0218326087970477,0.0058812972941848,-0.0021183043968192
1635287400000,52527.85,52527.85,52100.75,52518.42,0.0,0.0,0.0,0.0,-0.0005987520386488,-0.0005987520386488,0.0019465560554106,0.009978744038648
1635289200000,52559.32,52559.32,51999.53,51999.53,0.0,0.0,0.0,0.0,0.0087727514210522,-0.0009004558165511,-0.0019713163963775,-0.0065078147464232
1635291000000,52102.24,52606.69,52102.24,52340.15,0.0,0.0,0.0,0.0,-0.0046437771323205,0.0049931875476165,0.0019243427726189,0.0014763793652066
1635292800000,52345.32,52345.32,52002.17,52262.99,0.0,0.0,0.0,0.0,0.0002142006427547,-0.0028598669027505,-0.0035523791493604,-0.0044281933005622
1635294600000,52334.11,52495.45,52187.56,52495.45,0.0,0.0,0.0,0.0,-0.00599018148134,-0.0029257643331398,-0.0052647760540273,0.0002698104410161
1635296400000,52649.49,52649.49,52463.77,52481.29,0.0,0.0,0.0,0.0,0.0007047766867169,-0.0002263517061166,-0.0024065260666743,-0.0024635579319114
1635298200000,52612.41,52661.41,52590.33,52610.9,0.0,0.0,0.0,0.0,-0.0004637438203902,0.0001574455606809,0.0012681889249277,0.0015152870764667
1635300000000,52636.82,52653.12,52523.72,52531.3,0.0,0.0,0.0,0.0,0.0044402988848397,0.0038579033253469,0.0029398645325087,0.001653364055282

