Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1605855600.0,2020-11-20 07-AM,ETHUSD,484.62,494,483.95,489.88,698.04,341939.41
1605852000.0,2020-11-20 06-AM,ETHUSD,485.15,485.52,482.18,484.62,240.06,116144.22
1605848400.0,2020-11-20 05-AM,ETHUSD,486.63,486.75,482.6,485.15,650.22,314941.52
1605844800.0,2020-11-20 04-AM,ETHUSD,484.75,488,484.75,486.63,282.69,137461.23
1605841200.0,2020-11-20 03-AM,ETHUSD,482.3,488.08,482.3,484.75,395.99,192205.26
1605837600.0,2020-11-20 02-AM,ETHUSD,480,484.16,478.99,482.3,528.62,254743.13
1605834000.0,2020-11-20 01-AM,ETHUSD,471.75,480,471.45,480,162.58,77142.26
1605830400.0,2020-11-20 12-AM,ETHUSD,472.06,473.77,471.69,471.75,321.28,151936.33
1605826800.0,2020-11-19 11-PM,ETHUSD,473.24,473.37,469.73,472.06,380.41,179138.54
1605823200.0,2020-11-19 10-PM,ETHUSD,473.36,474.06,472,473.24,77.52,36662.97
1605819600.0,2020-11-19 09-PM,ETHUSD,475.4,477.16,472.43,473.36,115.48,54768.39
1605816000.0,2020-11-19 08-PM,ETHUSD,474.68,475.83,473.94,475.4,99.73,47352.51
1605812400.0,2020-11-19 07-PM,ETHUSD,473.42,474.89,472.34,474.68,321.6,152128.61
1605808800.0,2020-11-19 06-PM,ETHUSD,474.99,476.77,472.98,473.42,108.39,51459.17
1605805200.0,2020-11-19 05-PM,ETHUSD,475.36,475.96,473.38,474.99,110.55,52529.91
1605801600.0,2020-11-19 04-PM,ETHUSD,476.36,477.13,474,475.36,198.15,94227.84
1605798000.0,2020-11-19 03-PM,ETHUSD,478.06,479.09,475.83,476.36,235.13,112244.32
1605794400.0,2020-11-19 02-PM,ETHUSD,476.32,478.06,474.38,478.06,232.09,110436.44
1605790800.0,2020-11-19 01-PM,ETHUSD,474.28,476.58,474.28,476.32,208.78,99323.52
1605787200.0,2020-11-19 12-PM,ETHUSD,473.49,475.5,472.34,474.28,121.92,57803.33
1605783600.0,2020-11-19 11-AM,ETHUSD,470.11,473.49,469.65,473.49,210.39,99134.08
1605780000.0,2020-11-19 10-AM,ETHUSD,466.94,470.52,465.51,470.11,129.24,60456.17
1605776400.0,2020-11-19 09-AM,ETHUSD,469.66,470.98,465.4,466.94,266.81,124846.72
1605772800.0,2020-11-19 08-AM,ETHUSD,472.61,473.87,466.6,469.66,449.55,211333.4
1605769200.0,2020-11-19 07-AM,ETHUSD,473.84,474.39,471.17,472.61,257.61,121657.35
1605765600.0,2020-11-19 06-AM,ETHUSD,476.53,477.57,472.37,473.84,143.69,68118.91
1605762000.0,2020-11-19 05-AM,ETHUSD,477.21,477.21,474.79,476.53,208.35,99153.48
1605758400.0,2020-11-19 04-AM,ETHUSD,478.04,478.4,475.37,477.21,217.39,103609.35
1605754800.0,2020-11-19 03-AM,ETHUSD,479.04,480.24,477.69,478.04,226.99,108733.12
1605751200.0,2020-11-19 02-AM,ETHUSD,480.49,481.09,478.76,479.04,302.56,145198.11
1605747600.0,2020-11-19 01-AM,ETHUSD,479.03,480.49,478.23,480.49,163.03,78122.64
